Model,Sample,Attack,Epsilon,MSE_Clean,MSE_Adv,ASR,Degradation
Standard,1,FGSM,2.0,0.04183792171646652,0.1053321350484343,0.6028000220708674,2.5176235034394123
Standard,1,FGSM,3.0,0.04183792171646652,0.15693724907883205,0.7334098694730485,3.751076598459834
Standard,1,BIM,0.1,0.04183792171646652,0.06794334025787224,0.38422336085222164,1.6239654712851377
Standard,1,BIM,0.5,0.04183792171646652,0.10695972811123372,0.6088441654137638,2.5565258436137053
Standard,1,BIM,1.0,0.04183792171646652,0.10695972811123372,0.6088441654137638,2.5565258436137053
Standard,1,BIM,2.0,0.04183792171646652,0.10695972811123372,0.6088441654137638,2.5565258436137053
Standard,1,BIM,3.0,0.04183792171646652,0.10695972811123372,0.6088441654137638,2.5565258436137053
Standard,1,PGD,0.1,0.04183792171646652,0.06788737120883627,0.38371569009847206,1.6226277124591788
Standard,1,PGD,0.5,0.04183792171646652,0.09726901195103543,0.5698740957960234,2.324900663331764
Standard,1,PGD,1.0,0.04183792171646652,0.11697346508452455,0.6423298079933375,2.795871790124945
Standard,1,PGD,2.0,0.04183792171646652,0.16198203763352584,0.7417125853724461,3.871655928113971
Standard,1,PGD,3.0,0.04183792171646652,0.17575395738703217,0.7619517515367566,4.200829060728873
Standard,1,Channel-Aware,0.1,0.04183792171646652,0.10627966921052216,0.606341250144535,2.5402712383940607
Standard,1,Channel-Aware,0.5,0.04183792171646652,0.1060742747278997,0.6055789980766912,2.5353619485872096
Standard,1,Channel-Aware,1.0,0.04183792171646652,0.10613495767982602,0.6058045093617727,2.5368123779927996
Standard,1,Channel-Aware,2.0,0.04183792171646652,0.106073735058477,0.6055769913880957,2.535349049537722
Standard,1,Channel-Aware,3.0,0.04183792171646652,0.106151832114548,0.6058671726803605,2.537215706696274
Standard,1,Pilot-Contamination,0.1,0.04183792171646652,0.04194128755386914,0.0024645365803293022,1.0024706255273177
Standard,1,Pilot-Contamination,0.5,0.04183792171646652,0.043706800497666225,0.04275945070148746,1.0446694937158927
Standard,1,Pilot-Contamination,1.0,0.04183792171646652,0.04404660208968817,0.050144171591813454,1.0527913501103083
Standard,1,Pilot-Contamination,2.0,0.04183792171646652,0.05100199544858394,0.17968068997135409,1.21903749890403
Standard,1,Pilot-Contamination,3.0,0.04183792171646652,0.06320152941662478,0.33802358736177507,1.510627842485541
Standard,1,Undermining,0.1,0.04183792171646652,0.06896819876420718,0.3933737220033158,1.6484613942251045
Standard,1,Undermining,0.5,0.04183792171646652,0.14752557342919004,0.7164022430555197,3.5261209777331532
Standard,1,Undermining,1.0,0.04183792171646652,0.29593782656400397,0.8586259749143018,7.073435161754919
Standard,1,Undermining,2.0,0.04183792171646652,0.41752313482610537,0.8997949616998071,9.979538124662085
Standard,1,Undermining,3.0,0.04183792171646652,0.3756528621137745,0.8886261068768458,8.978764878895156
Standard,2,FGSM,0.1,0.010889508790596391,0.012420141933200513,0.12323797512430654,1.1405603477657225
Standard,2,FGSM,0.5,0.010889508790596391,0.02005396830704424,0.45698982745617994,1.841586125938187
Standard,2,FGSM,1.0,0.010889508790596391,0.03297384678581204,0.6697531573634314,3.028038033661034
Standard,2,FGSM,2.0,0.010889508790596391,0.07004110180830421,0.8445268776553525,6.431979913436319
Standard,2,FGSM,3.0,0.010889508790596391,0.12234321017287283,0.910992128004412,11.234961330718793
Standard,2,BIM,0.1,0.010889508790596391,0.034099999802529334,0.6806595644088926,3.1314543620164303
Standard,2,BIM,0.5,0.010889508790596391,0.07403691709879942,0.8529178521025564,6.7989216522543074
Standard,2,BIM,1.0,0.010889508790596391,0.07403691709879942,0.8529178521025564,6.7989216522543074
Standard,2,BIM,2.0,0.010889508790596391,0.07403691709879942,0.8529178521025564,6.7989216522543074
Standard,2,BIM,3.0,0.010889508790596391,0.07403691709879942,0.8529178521025564,6.7989216522543074
Standard,2,PGD,0.1,0.010889508790596391,0.03396912960285753,0.6794292665750155,3.1194363543919894
Standard,2,PGD,0.5,0.010889508790596391,0.06986560188026991,0.8441363346549571,6.415863490610539
Standard,2,PGD,1.0,0.010889508790596391,0.08815854797490955,0.876478128998953,8.09573229336466
Standard,2,PGD,2.0,0.010889508790596391,0.1474743468811802,0.9261599795429504,13.542791480964807
Standard,2,PGD,3.0,0.010889508790596391,0.20737655808197406,0.9474892008464532,19.043701793147324
Standard,2,Channel-Aware,0.1,0.010889508790596391,0.07270652480481017,0.8502265261634956,6.676749723329643
Standard,2,Channel-Aware,0.5,0.010889508790596391,0.07265666275042555,0.8501237411907883,6.672170815745889
Standard,2,Channel-Aware,1.0,0.010889508790596391,0.07266656036429228,0.8501441552207086,6.673079728540493
Standard,2,Channel-Aware,2.0,0.010889508790596391,0.07269165259295525,0.8501958835414931,6.675383985706311
