Model,Sample_Index,Attack,Epsilon,MSE_Clean,MSE_Adversarial,Degradation_Ratio,Perturbation_Linf,Attack_Success
Standard,1,PGD,3.0,0.04183792171646652,0.17972953665086827,4.295852405597158,3.000000238418579,True
Standard,1,Channel-Aware,0.1,0.04183792171646652,0.10609398005594595,2.5358329406259585,0.2343633621931076,True
Standard,1,Channel-Aware,0.5,0.04183792171646652,0.10613553706966915,2.536826226430278,0.23437850177288055,True
Standard,1,Channel-Aware,1.0,0.04183792171646652,0.10613273254096454,2.536759193255839,0.23835216462612152,True
Standard,1,Channel-Aware,2.0,0.04183792171646652,0.10607844569441491,2.5354616420314366,0.23289161920547485,True
Standard,1,Channel-Aware,3.0,0.04183792171646652,0.10634775790919017,2.5418986781873047,0.23415139317512512,True
Standard,1,Pilot-Contamination,0.1,0.04183792171646652,0.04191665995455404,1.001881982537783,0.4478841493053405,False
Standard,1,Pilot-Contamination,0.5,0.04183792171646652,0.04338664482814654,1.0370172094631191,2.1157185866675006,False
Standard,1,Pilot-Contamination,1.0,0.04183792171646652,0.04649626588073253,1.1113426282461012,5.1964859642635695,False
Standard,1,Pilot-Contamination,2.0,0.04183792171646652,0.04752756727229697,1.1359925474881112,9.354848085547378,False
Standard,1,Pilot-Contamination,3.0,0.04183792171646652,0.058528114205510864,1.3989249896816802,17.386063565246626,False
Standard,2,FGSM,0.1,0.010889508790596391,0.012420141933200513,1.1405603477657225,0.009999999776482582,False
Standard,2,FGSM,0.5,0.010889508790596391,0.02005396830704424,1.841586125938187,0.05000000074505806,True
Standard,2,FGSM,1.0,0.010889508790596391,0.03297384678581204,3.028038033661034,0.10000000149011612,True
Standard,2,FGSM,2.0,0.010889508790596391,0.07004110180830421,6.431979913436319,0.20000000298023224,True
Standard,2,FGSM,3.0,0.010889508790596391,0.12234321017287283,11.234961330718793,0.30000001192092896,True
Standard,2,BIM,0.1,0.010889508790596391,0.034099999802529334,3.1314543620164303,0.10000002384185791,True
Standard,2,BIM,0.5,0.010889508790596391,0.07403691709879942,6.7989216522543074,0.20000016689300537,True
Standard,2,BIM,1.0,0.010889508790596391,0.07403691709879942,6.7989216522543074,0.20000016689300537,True
Standard,2,BIM,2.0,0.010889508790596391,0.07403691709879942,6.7989216522543074,0.20000016689300537,True
Standard,2,BIM,3.0,0.010889508790596391,0.07403691709879942,6.7989216522543074,0.20000016689300537,True
Standard,2,PGD,0.1,0.010889508790596391,0.03380628924695596,3.1044824791499592,0.10000002384185791,True
Standard,2,PGD,0.5,0.010889508790596391,0.06803265723484493,6.247541422033137,0.5000000596046448,True
Standard,2,PGD,1.0,0.010889508790596391,0.0851543375261643,7.819851121264453,1.0,True
Standard,2,PGD,2.0,0.010889508790596391,0.13975341601201494,12.83376676574233,2.0,True
Standard,2,PGD,3.0,0.010889508790596391,0.20631271859237507,18.946007809878065,3.0,True
Standard,2,Channel-Aware,0.1,0.010889508790596391,0.07267894039169823,6.674216605110779,0.23599456250667572,True
Standard,2,Channel-Aware,0.5,0.010889508790596391,0.07264266786284657,6.670885644132724,0.2355802208185196,True
Standard,2,Channel-Aware,1.0,0.010889508790596391,0.07262325875775127,6.669103276767168,0.23691077530384064,True
Standard,2,Channel-Aware,2.0,0.010889508790596391,0.07267983243764191,6.674298523033876,0.2405601292848587,True
Standard,2,Channel-Aware,3.0,0.010889508790596391,0.07261151250009851,6.668024600228249,0.2410622090101242,True
Standard,2,Pilot-Contamination,0.1,0.010889508790596391,0.011004585842884385,1.0105676991038721,0.43421489286972803,False
Standard,2,Pilot-Contamination,0.5,0.010889508790596391,0.01318325904316159,1.2106385417996044,2.4764289579603327,False
Standard,2,Pilot-Contamination,1.0,0.010889508790596391,0.017845067372648862,1.6387394248727662,5.304134266163172,True
Standard,2,Pilot-Contamination,2.0,0.010889508790596391,0.02470520733622538,2.268716414238951,10.604865546405527,True
Standard,2,Pilot-Contamination,3.0,0.010889508790596391,0.027141838942306696,2.492475966018317,16.258973486958332,True
Standard,3,FGSM,0.1,0.025925000260651258,0.028281750230194153,1.0909064588562396,0.009999999776482582,False
Standard,3,FGSM,0.5,0.025925000260651258,0.039335435680542034,1.5172781209281228,0.05000000074505806,True
